Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
290,Rico Lewis,eng ENG,"DF,MF",Manchester City,20-115,2004,23,19,"1,702",18.9,1,2,3,1,0,0,5,1,1.4,1.4,0.3,1.7,36,97,63,0.05,0.11,0.16,0.05,0.16,0.07,0.02,0.09,0.07,0.09,Matches
291,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,24-022,2001,29,27,"2,369",26.3,1,2,3,1,0,0,4,0,2.5,2.5,2,4.5,86,82,129,0.04,0.08,0.11,0.04,0.11,0.09,0.08,0.17,0.09,0.17,Matches
292,Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-171,2006,13,8,676,7.5,1,0,1,1,0,0,2,2,0,0,0.1,0.2,13,35,18,0.13,0,0.13,0.13,0.13,0.01,0.02,0.03,0.01,0.03,Matches
293,Matthijs de Ligt,nl NED,DF,Manchester Utd,25-216,1999,26,22,"1,909",21.2,2,0,2,2,0,0,3,0,2.3,2.3,0.3,2.6,7,49,6,0.09,0,0.09,0.09,0.09,0.11,0.01,0.12,0.11,0.12,Matches
294,Pedro Lima,br BRA,DF,Wolves,18-258,2006,3,1,70,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,4,4,11,0,0,0,0,0,0.07,0.09,0.16,0.07,0.16,Matches
295,Victor Lindelöf,se SWE,DF,Manchester Utd,30-242,1994,7,1,154,1.7,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,5,1,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
296,Jesper Lindstrøm,dk DEN,FW,Everton,25-015,2000,25,15,"1,239",13.8,0,1,1,0,0,0,2,0,2.1,2.1,2,4.1,30,25,81,0,0.07,0.07,0,0.07,0.15,0.15,0.3,0.15,0.3,Matches
297,Valentino Livramento,eng ENG,DF,Newcastle Utd,22-124,2002,27,22,"1,940",21.6,0,0,0,0,0,0,1,0,0.1,0.1,1.1,1.3,50,103,73,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06,Matches
298,Sean Longstaff,eng ENG,MF,Newcastle Utd,27-137,1997,21,8,746,8.3,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,4,38,20,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09,Matches
299,Saša Lukić,rs SRB,MF,Fulham,28-215,1996,22,21,"1,738",19.3,0,2,2,0,0,0,10,0,0.8,0.8,2.6,3.4,30,73,22,0,0.1,0.1,0,0.1,0.04,0.13,0.17,0.04,0.17,Matches
300,Joe Lumley,eng ENG,GK,Southampton,30-029,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
301,Massimo Luongo,au AUS,MF,Ipswich Town,32-172,1992,7,2,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,Matches
302,Ian Maatsen,nl NED,DF,Aston Villa,23-006,2002,22,4,617,6.9,0,1,1,0,0,0,2,0,0.2,0.2,1.6,1.8,19,33,61,0,0.15,0.15,0,0.15,0.04,0.23,0.27,0.04,0.27,Matches
303,Alexis Mac Allister,ar ARG,MF,Liverpool,26-082,1998,28,25,"2,111",23.5,3,3,6,3,0,0,6,0,2.3,2.3,3.6,5.9,30,146,61,0.13,0.13,0.26,0.13,0.26,0.1,0.15,0.25,0.1,0.25,Matches
304,James Maddison,eng ENG,MF,Tottenham,28-113,1996,26,17,"1,501",16.7,9,5,14,9,0,0,6,0,5.7,5.7,3.2,8.9,38,140,78,0.54,0.3,0.84,0.54,0.84,0.34,0.19,0.53,0.34,0.53,Matches
305,Noni Madueke,eng ENG,FW,Chelsea,23-006,2002,23,19,"1,453",16.1,7,3,10,7,0,0,3,0,7.6,7.6,3.6,11.2,110,53,179,0.43,0.19,0.62,0.43,0.62,0.47,0.22,0.69,0.47,0.69,Matches
306,Gabriel Magalhães,br BRA,DF,Arsenal,27-087,1997,26,26,"2,258",25.1,3,1,4,3,0,0,3,0,2.6,2.6,0.9,3.5,9,121,11,0.12,0.04,0.16,0.12,0.16,0.1,0.03,0.14,0.1,0.14,Matches
